English,Gender,German,Plural
Practical,Neuter,Practical,Praktika
Only-Child,Neuter,Einzelkind,Einzelkinder
Grandson,Masculine,Enkel,Enkel
Brother-In-Law,Masculine,Schwager,Schwäger
Sister-In-Law,Feminine,Schwägerin,Schwägerinen
Cv,Masculine,Lebenslauf,Lebensläufe
Letter,Masculine,Brief,Briefe
Musician,Masculine,Musikerin,Musikerinnen
Boss,Masculine,Chef,Chefs
Thief,Masculine,Dieb,Diebe
Mother-Tongue,Feminine,Muttersprache,Muttersprachen
Main,Neuter,Haupt,Haupter
Coincidence,Masculine,Zufall,Zufälle
Sibling,Neuter,Geschwister,Geschwister
Hobby,Neuter,Hobby,Hobbys
Stool,Masculine,Stuhl,Stühle
Bed,Neuter,Bett,Betten
Trouser-Pocket,Feminine,Hosentasche,Hosentaschen
Shirt,Neuter,Hemd,Hemden
Gift,Neuter,Geschenk,Geschenke
Tip,Neuter,Trinkgeld,Trinkgelder
Waitress,Feminine,Kellnerin,Kellnerinen
Gap,Feminine,Lücke,Lücken
Afternoon,Masculine,Nachmittag,Nachmittage
Son,Masculine,Sohn,Söhne
Daughter,Feminine,Tochter,Töchter
Mansion,Feminine,Villa,Villen
Bathroom,Neuter,Badezimmer,Badezimmer
Kitchen,Feminine,Küche,Küchen
Living-Space,Masculine,Wohnfläche,Wohnflächen
Storey,Feminine,Etage,Etagen
Rent,Feminine,Miete,Mieten
Elevator,Masculine,Personenaufzug,Personenaufzug
Central-Heating,Feminine,Zentralheizung,Zentralheizungen
Bike-Shed,Masculine,Fahrradschuppen,Fahrradschuppen
Discussion,Feminine,Besprechung,Besprechungen
Lunch-Break,Feminine,Mittagspause,Mittagspausen
Book,Neuter,Buch,Bücher
Closing-Time,Masculine,Feierabend,Feierabende
Science,Feminine,Wissenschaft,WissensWissenschaftenchaften
Bird,Masculine,Vogel,Vögel
Color,Feminine,Farbe,Farben
Favourite-Color,Feminine,Lieblingsfarbe,Lieblingsfarben
Kilt,Masculine,Schottenrock,Schottenröcke
Slipper,Masculine,Hausschuh,Hausschuhe
Pullover,Masculine,Pulli,Pullis
Hooded-Jacket,Feminine,Kapuzenjacke,Kapuzenjacken
Glasses,Feminine,Brille,Brillen
Bag,Feminine,Tasche,Taschen
Jacket,Neuter,Jacke,Jacken
Glove,Masculine,Handschuh,Handschuhe
Jeans,Feminine,Jeans,Jeans
Watch,Feminine,Armbanduhr,Armbanduhren
Suit,Masculine,Anzug,Anzüge
Underwear,Feminine,Unterwäsche,Unterwäsche
Trouser,Feminine,Hose,Hosen
Rain-Coat,Feminine,Regenjacke,Regenjacken
Hat,Masculine,Hut,Hüte
Dress,Feminine,Kleid,Kleider
Consequence,Neuter,Folge,Folgen
Example,Neuter,Beispiel,Beispiele
Passenger-Car,Masculine,Personenkraftwagen,Personenkraftwägen
Truck,Masculine,Lastkraftwagen,Lastkraftwägen
First-Name,Masculine,Vorname,Vornamen
Last-Name,Masculine,Nachname,Nachnamen
Beak,Masculine,Schnabel,Schnäbel
Raspberry,Feminine,Himbeere,Himbeeren
Song,Neuter,Lied,Lieder
Clothes,Feminine,Klamotte,Klamotten
Dress,Neuter,Kleid,Kleider
Blouse,Feminine,Bluse,Blusen
Skirt,Masculine,Rock,Röcke
Tie,Feminine,Krawatte,Krawatten
Sock,Feminine,Socke,Socken
Shoe,Masculine,Schuh,Schuhe
Sandal,Feminine,Sandale,Sandalen
Belt,Masculine,Gürtel,Gürtel
Scarf,Masculine,Schal,Schale
Swimsuit,Masculine,Badeanzug,Badeanzüge
Ring,Masculine,Ring,Ringe
Necklace,Feminine,Halskette,Halsketten
Bracelet,Neuter,Armband,Armbänder
Earring,Masculine,Ohrring,Ohrringe
Middle,Feminine,Mitte,Mitten
Sea,Neuter,Meer,Meere
Mediterranean,Neuter,Mittlemeer,Mittlemeer
Cheese,Masculine,Käse,Käse
Goats-Cheese,Masculine,Ziegenkäse,Ziegenkäse
Goat,Feminine,Ziege,Ziegen
Tree-Root,Feminine,Wurzel,Wurzeln
Fruit,Feminine,Frucht,Früchte
Peach,Masculine,Pfirsich,Pfirsiche
Basil,Feminine,Basilie,Basilien
Ham,Masculine,Schinken,Schinken
Supplment,Feminine,Ergänzung,Ergänzungen
Onion,Feminine,Zwiebel,Zwiebeln
Strawberry,Feminine,Erdbeere,Erdbeeren
Chicken,Neuter,Hähnchen,Hähnchen
Prawn,Feminine,Garnele,Garnelen
Cottage-Cheese,Masculine,Frischkäse,Frischkäse
Medicinal-Plant,Feminine,Heilpflanze,Heilpflanzen
Effect,Feminine,Wirkung,Wirkungen
Pistachio,Feminine,Pistazie,Pistazien
Black-Bean,Feminine,Brombeere,Brombeeren
Recipe,Neuter,Rezept,Rezepte
Cabbage,Masculine,Kohl,Kohle
January,Masculine,Januar,Januare
February,Masculine,Februar,Februare
March,Masculine,März,Märze
April,Masculine,April,Aprile
May,Masculine,Mai,Mai
June,Masculine,Juni,Junis
July,Masculine,Juli,Julis
August,Masculine,August,Auguste
September,Masculine,September,September
October,Masculine,Oktober,Oktober
November,Masculine,November,November
December,Masculine,Dezember,Dezember
Infant,Masculine,Säugling,Säuglinge
Child,Neuter,Kind,Kinder
Youth,Feminine,Jugend,Jugend
Adult,Neuter,Erwachsene,Erwachsenen
Pensioner,Masculine,Rentner,Rentner
Drip,Masculine,Tropfen,Tropfen
Puddle,Feminine,Pfütze,Pfützen
Pond,Masculine,Teich,Teiche
Lake,Feminine,See,Seen
Weightlifter,Masculine,Gewichtheber,Gewichtheber
Repetition,Feminine,Wiederholung,Wiederholungen
Set,Masculine,Satz,Sätze
